artist,genre
Zuni,rain
Rusty Eye,
Olivier Lupin,
Spin Doctors,alternative rock
Sonic Brainwaves,binaural
Stereophonics,britpop
Nature Of Sweden,
Björk,art pop
The Sins Of Thy Beloved,gothic metal
Disturbed,alternative metal
Laura Antelme,
Project Hologram,
Northern Lights,background music
Pim Miles,atmosphere
Edward Elysseus,background music
Arctic Monkeys,garage rock
Good Riddance,melodic hardcore
Phantogram,electropop
Ella Drake,
Daily Calm,rain
Chaima Bergevoet,
Almafuerte,argentine heavy metal
The White Stripes,alternative rock
Gondwana,latin alternative
Jawsh 685,nz pop
Megadeth,album rock
Mikkel Boyer,
Sublime,alternative rock
Pol To Sol,
Quiet Riot,album rock
Carcass,alternative metal
Carligo,sleep
Hidrogenesse,spanish indie pop
Zeb Maessen,sleep
Patricio Rey y sus Redonditos de Ricota,argentine rock
boom boom kid,argentine indie
Madds,gen z singer-songwriter
Creando LatAm,
Billy Squier,album rock
Jagjit Singh,classic bollywood
Sinéad O'Connor,lilith
Sex Pistols,punk
Blur,alternative rock
Szigeti Aliz,background music
Armand DeLuca,
Vampire Weekend,baroque pop
Yonah Stana,
Los De Abajo,latin alternative
Friccion,post-punk argentina
Moments of Clarity,background music
Blund,electro jazz
Brandon Fiechter,middle earth
Violent Femmes,acoustic punk
De Maynes,
Jarabe De Palo,latin
E I S U,
Roy Holtz,
Los Daniels,latin alternative
goldenchildren,lo-fi chill
Bushido,aggro chileno
The Dandy Warhols,alternative dance
Antidoping,latin alternative
Dread Mar I,argentine reggae
Visitors Not Strangers,
Sgt. Papers,latin american heavy psych
Joan Magana,sleep
Aerosmith,album rock
Above & Beyond,edm
Bilbo Hendrix,
Sonidos Suaves,
Dino Warriors,
Gang Of Four,alternative rock
Josep Alba,background music
Sounds of Love,sleep
Silent City,
Psicología Oscura,
Sonido Del Bosque y Naturaleza,musica de fondo
Kinship Networks,
Massagem Guru,musica de fondo
High Sampling,rain
Massimu,sleep
Fun People,argentine hardcore
Naturen,rain
shego,panamanian pop
The Beat,beatlesque
Los Garbanzos,punk tico
Mindful Eclipse,mindfulness
Magazine,alternative rock
Ezechiel Almonte,
ELYX,
Nordic Rain,
Eluvium,ambient
AMBIE,
Resorte,latin alternative
Carl Borg,
Susan Boyle,operatic pop
Sonic Scenario,brazilian edm
Wolfmother,alternative rock
Puerto Candelaria,colombian rock
Molchat Doma,belarusian indie
Soothing Music Academy,
Katana Angels,
Nicolas Fuentes,
Lake Isabel,background piano
Ocean Island,
Nimbus Skies,
La Sexta Vocal,musica indigena mexicana
W Podcast,
Lucas Estrada,deep house
Cyrano Brussee,
Yeah Yeah Yeahs,alternative dance
Phoenix,alternative dance
Velvet Felt,
Primer Dia,background music
Enjambre,indie rock mexicano
Fastball,pop rock
Los Fresones Rebeldes,spanish indie pop
Nils August Valentin,sleep
Natalie Merchant,folk
Roxy Music,album rock
Stellarscopees,
Nacreous Clouds,
Salon Victoria,latin alternative
Podcast Power BI,
Teresa Muñoz,
Motorama,deep gothic post-punk
Petra Espiritu,
Los Concorde,latin alternative
David Otero,latin arena pop
Counting Crows,alternative rock
Lily Allen,dance pop
Flor de Loto,musica de fondo
La Habitación Roja,cantautor
Rain,
When It Rains In California,rain
Los Estramboticos,latin alternative
The Flys,post-grunge
Love Battery,grunge
Chris Stapleton,contemporary country
Porter,complextro
Soda Stereo,argentine rock
Macy Gray,neo soul
August Deware,
Heartbeat Sirens,
Carl Stark Willgold,
MexFutura,cdmx indie
Tom Petty and the Heartbreakers,album rock
OV7,latin
Rebecka Aether,sleep
Petite Amie,mexican indie
Monocordio,latin alternative
Jose Fors,mexican rock
Liro Shaq,dembow
Bhramari,
ChocQuibTown,colombian hip hop
Iggy Pop,alternative rock
Divino Kabaret,
Level 42,art rock
Helmet,alternative metal
The Future Sound of XYZ,background music
Player1,traprun
Jerzy Stól,
For The Lost,sleep
Ben Zullo,
dryhope,chillhop
Röyksopp,alternative dance
Adaptados,punk tico
Royal Blood,alternative rock
M. David,
Hector Warrens,sleep
Maria Fatal,
Mindful Changes,sleep
Alexander Brinkman,sleep
Sola Vimi,sleep
Rain Hard,rain
Los Angeles Negros,chilean rock
Troye Sivan,australian pop
Cokobi,sleep
IFEELU,background music
Siddhartha,mexican indie
Temple Of The Dog,alternative metal
Ruzzi,mexican indie
Tim Christensen,danish pop
Minonna,background music
Danna Paola,latin
Rob Zombie,alternative metal
Big Audio Dynamite,dance rock
Dave Grohl,alternative rock
Jay Belshaw,sleep
Foals,indie rock
Alisieu,sleep
Aerial Love,
El Bar de Los Broder Tolquin,
Babasónicos,argentine rock
Tine Mydland,sleep
Juno Reed,sleep
Sonic Youth,alternative rock
Shibb,sleep
Charly García,argentine rock
Charlie Cunningham,british singer-songwriter
Doosi,
Samira Tesfay,sleep
Feten Feten,
Paty Cantú,latin
J Balvin,latin
Calle 13,latin
The Glorious Sons,canadian indie
Collective Soul,alternative metal
Paul Kalkbrenner,electronica
Ruido Rosa,mexican indie
Penny Layn,sleep
Bonart,
Various Artists,dancehall
La Revo,mexican classic rock
Billy Talent,alternative metal
Los Pandilleros,rockabilly en espanol
DataFramed,
Gorillaz,alternative hip hop
The Sleep & Focus Group,rain
Opeth,alternative metal
Leah Day,sleep
Ed Sheeran,pop
Vale,hollywood
Mindful Measures,rain
Alice In Chains,alternative metal
Cuestión de Datos,
Jef Martens,neo-classical
Weichafe,chilean hardcore
Los Fabulosos Cadillacs,argentine rock
Prewitt Massé,
Sólo Los Solo,spanish hip hop
Hypertime,
The Lay-Backs,sleep
Zoe Handfield,
George Michael,
Arch Enemy,alternative metal
Skizoo,latin metal
Prayers,electronic rock
Olivia Rodrigo,pop
Meredith Brooks,lilith
Orgy,alternative metal
Dover,rock en espanol
Ever So Blue,background piano
Gustavo Cerati,argentine rock
The Smiths,madchester
Jon Bon Jovi,hard rock
Rage Against The Machine,alternative metal
Mono Inc.,dark rock
Amel Scott,
Rain is my Life,rain
Pulp,alternative rock
Natalia Lafourcade,latin alternative
Lana Del Rey,art pop
Mehdi Teyt & Rehla X,background music
Aterciopelados,colombian rock
Guns N' Roses,glam metal
Reuben Hensley,
The Killers,alternative rock
Olvidara,rain
petr pechal,
White Lies,alternative dance
Satomi Saeki,chinese traditional
Los Muertos de Cristo,spanish punk
Harry Styles,pop
Lorde,art pop
Social Distortion,punk
The Rain Guru,rain
Timbiriche,latin
Twenty One Pilots,modern rock
El Podcast DEV,
IDLES,bristol indie
Relaxing Nature Recordings,rain
Timothy Brownie,cdmx indie
Outside HD Samples,water
Dua Lipa,dance pop
Stream of Passion,dutch metal
Soundgarden,alternative metal
cxlt.,
Pappo's Blues,argentine rock
Trolebús,rock urbano mexicano
Rayne,rain
Regnskur,rain
Los Romanticos de Zacatecas,deep latin alternative
"Filosofía, Psicología, Historias",
Liquid Mind,ambient
Calvin Harris,dance pop
Concrete Blonde,lilith
Meat Puppets,alternative rock
Three Drives On A Vinyl,trance
Wind Speaks,
Sin Cordones,
Baltic Nature Sounds,rain
Balthazar,belgian indie
our distant worlds,
Paula Cole,ectofolk
M83,french shoegaze
Mutant Melodies,
Unwritten Law,pop punk
Tokyo Ska Paradise Orchestra,j-rock
The Smashing Pumpkins,alternative metal
Jenny Lange,background piano
Crista Galli,
The Lightning Seeds,britpop
Pixies,alternative rock
Anthony Keyrouz,arab electronic
De Bueyes,argentine rock
The Cranberries,irish rock
Sr. Bikini,instrumental surf
Metronomy,alternative dance
chillchild,background music
Kings of Convenience,bergen indie
Rasel,electro latino
Semisonic,pop rock
Andre Ehmann,
Zurdok,indie rock mexicano
Portrait of Nature,
Black Sabbath,album rock
The Nature Soundscapes,rain
Casiio,
Cleantha,sleep
Oneironautics,
Evanescence,alternative metal
Sophie Ellis-Bextor,dance pop
Belanova,dance pop
Eternal Ocean,
Artemio Li Fonti,background music
Efectos,sleep
Pet Shop Boys,art pop
X.L.T,rain
"Dawn, Dawn, Dawn",background music
New Order,art rock
Prince Royce,bachata
Rammstein,alternative metal
Jane Winther,kirtan
Javiera Parra,chilean indie
Tuva Meyer,sleep
JETFIRE,belgian edm
Lumi Couri,sleep
Texas,dance pop
Australian Crawl,australian alternative rock
Northerly Nature,rain
Abe Hathot,432hz
Calil,colombian pop
Los Gatos Rockabilly,rockabilly en espanol
Balerom,musica costarricense
Armenia,colombian rock
Four Robes,
TV On The Radio,alternative dance
Sonic Ark,
Los Pilotos,granada indie
Sadhana Sargam,classic bollywood
Artipico,rain
Luis Miguel,bolero
Adam Specter,
Elsa y Elmar,colombian indie
Suite Doble,indie tico
Marc Barreca,experimental synth
Alphabetics,rock tico
Cher,atl hip hop
Summer Showers,rain
Soul Resonance,
Forest Rain FX,rain
Ganja,latin alternative
Luna S.,shamanic
The Magic Box,
Butterfly Wings,
Tears For Fears,new romantic
Shaman,water
Rim-Shaz,sleep
Los Ajenos,musica costarricense
Lacuna Coil,gothic metal
Tessa Ia,mexican indie
Tejal Yann,background music
Abominables,deep latin alternative
Bush,alternative metal
Keira Conlon,background music
R. Guru,rain
The Sleep Specialist,sleep
Cabezones,argentine metal
Duran Duran,dance rock
Avery Young,background music
Kaiser Hulenstadt,
Aquaplasm,rain
Comodo,
Bersuit Vergarabat,argentine rock
Charlotte Gainsbourg,art pop
AC/DC,australian rock
The Roots,alternative hip hop
La Era de Acuario,psicodelia mexicana
FANAR,
Heart of Fjorgyn,rain
"Francisco Barrios ""El Mastuerzo""",blues mexicano
Eva Slott,background music
Solene Edgar,sleep
Topic,dance pop
Bella Álvarez,colombian indie
Rosetta Arroyo,sleep
Lupe Sinsonte,background piano
Snow Patrol,irish rock
Alex O'aiza,
Keith Karman,
Leviticus Orion,
Lugar,latin worship
Joyce Dulaney,
Manu Piró,
JNS,latin
TOOL,alternative metal
Stevie Nicks,album rock
Maskatesta,latin alternative
Los Blenders,latin rock
John Travolta,hollywood
The Damned,alternative rock
Michael Jackson,pop
Groove Crackers,brazilian edm
David Fonseca,portuguese rock
Garbage,alternative dance
República Fortuna,musica costarricense
Kansas,album rock
Maná,latin
Najma Wallin,sleep
NAYAT,
Aeiou,
Energy 52,bubble trance
Yo La Tengo,alternative rock
Polar Gang,
Manuel Medrano,colombian pop
Matter and Energy,background music
Cecilia Krull,spanish pop
Marek Hemmann,deep euro house
Candlebox,alternative metal
Dreamy Drops,rain
Rubicon Fray,
Norah Wallentin,sleep
Devinney,
Golden Slumber,
Supergrass,alternative rock
Maui Sam,
Los Rodriguez,argentine rock
Lucia Guiada,musica de fondo
Podcast – Capa 8,
Café Tacvba,latin
Los Makenzy,colombian indie
Nyno Vargas,flamenco urbano
Sleep Therapist,sleep
The Lemonheads,alternative pop
Royden Beaudoin,
Juana Molina,argentine indie
Stormy Station,rain
A la mierda el qué dirán,
Fiona Apple,art pop
David Wingo,soundtrack
Barbi Recanati,argentine alternative rock
less.people,chillhop
Guided By Voices,alternative pop
Deep Zones,
BLVKSHP,sleep
Juliana Stipe,sleep
Jurassic 5,alternative hip hop
Ska-P,ska
Arrabalero,colombian indie
The Offspring,alternative metal
Meditación Guiada | Meditaciones Guiadas | Sí Medito,
Azul Violeta,funk mexicano
Ebb & Flod,background music
Wet Wet Wet,boy band
Aysha Mathis,sleep
Toledo Rains,background music
Red Hot Chili Peppers,alternative rock
Christian Löffler,electronica
Real De Catorce,blues mexicano
Athmospherical FX,rain
Dream Phobia,study beats
MIEL,latin christian
Rain Rec.,
Primal Scream,alternative rock
Chris Cornell,alternative metal
PDC RAIN,rain
The Doors,acid rock
Sofia Rain,
Mayol,
Daniel Melero,argentine indie
KISS,album rock
La Vida Bohème,caracas indie
Therion,gothic metal
Musica relajante dormir,musica de fondo
LeBaron,latin rock
Threedust,chill beats
Nirvana,alternative rock
Little Jesus,indie rock mexicano
Jorge Milliano,
Sampling XL,rain
JEFFK,
Patterns,indie tico
April Shower,rain
The Ocean Blue,dream pop
Project AER,
Adan Jodorowsky,mexican indie
Luna Lighthouse,
Barenaked Ladies,canadian pop
Elm Lake,background music
EON NOIRE,background music
Aster,mezmur
Bali Rain,
Static-X,alternative metal
Blackbird Sons,nwocr
Jenny And The Mexicats,latin alternative
Alegrini,rain
Aida Bossa,cumbia
Weather Pass,rain
Gates of Heaven,
Justin Bieber,canadian pop
Todos Tus Muertos,argentine hardcore
Feldgeister,sleep
xerLK,background music
Raül Refree,euskal musica
PJ Harvey,alternative rock
Sheryl Crow,lilith
Harrison,pop dance
Torm Mentas,rain
Radiohead,alternative rock
Miguel Mateos - Zas,argentine rock
El Shirota,cdmx indie
Aileen Morais,
Dark Focus,
Huma,sleep
Leaves' Eyes,celtic metal
Fidi Bie,
Dvicio,latin
Fields Of Gold,
Skay Beilinson,argentine rock
Linkin Park,alternative metal
Ensemble Cordes De La Mer,
Ultrasonicas,garage rock mexicano
Hombres G,latin
Tori Amos,art pop
Travis,rap
Radaid,rock progresivo mexicano
Naturally Recurring,background music
Rainbow Rise,
Michel LeBond,atmosphere
Miguel Castro,
Mad Chronic,study beats
La Renga,argentine rock
Duncan Dhu,cantautor
Bebe,dance pop
Mia Radcliffe,
Marilyn Manson,alternative metal
Nue,rain
Bryan Adams,canadian pop
Hole,alternative rock
Consulado Popular,colombian rock
Ecovillage,indie shoegaze
Everaire,
Jobii,
The Sound Of The Rain,rain
Mauro Samaniego,ecuadorian indie
Towerz,
Santa Sabina,latin alternative
Joan Jett & The Blackhearts,glam punk
Adumbration,
El Último Ke Zierre,punk urbano
Meditation Relax Club,sleep
Dhyāna One,singing bowl
David Bowie,art rock
Bandalos Chinos,argentine alternative rock
John Waite,album rock
Keira Barton,
311,alternative metal
John Goodlove,
Peaceful Melody,
The Guess Who,album rock
Cradle Of Filth,black metal
Alejandro Filio,cantautor
Sound FX Pro,
Kanisan,
Fin del Mundo,argentine indie rock
Jack Off Jill,riot grrrl
MusicoterapiaTeam,musica de fondo
Blondie,candy pop
Remy Zero,alabama indie
"Daniel, Me Estás Matando",mexican indie
Airwaves,pop punk
Public Image Ltd.,alternative rock
Let's Find Out,
Derek Fiechter,middle earth
Rigaud,
Boreal Embla,sleep
Klaangen,sleep
Dropology,rain
The Rolling Stones,british invasion
Wet Forest,rain
Szymon Kowalczyk,
Ilan Rubin,
Sierra Rubio,
Roman Melass,background piano
Sezja,sleep
Birds & Bees etc.,rain
El Parque,musica costarricense
Interpol,alternative dance
Óscar Chávez,bolero
Dimitri Vegas & Like Mike,belgian dance
Coal Chamber,alternative metal
Couzens,
Alan Ellis,background music
Lanza Internacional,chilean rock
Rain Sounds Rain,
Weather and Nature Recordings,environmental
Forest for Rest,
El príncipe idiota,argentine indie
SUND,socal indie
Alanis Morissette,canadian pop
Brahma Kumaris,world meditation
Mohammed Naiem,
Enui,dance pop
Ché Wilson,
Bodanny,
August Wilhelmsson,background music
The Pharcyde,alternative hip hop
Belinda,dance pop
KAVVO,
Smoothe Sounds,shush
David Payne,sleep
Effectum,rain
Gin Blossoms,alternative rock
LosPetitFellas,colombian hip hop
COSAS,indie tico
Vantroi,punk rock mexicano
Mayeda Taki,
Eva Ryjlen,spanish modern rock
Lamb & Mountain,
Eterna Inocencia,argentine hardcore
Sleep Baby Sleep,sleep
Deborah de Luca,electra
Mindfacts: Esguinces mentales,
Las Dianas,granada indie
LCD Soundsystem,alternative dance
Charmaine D'Avis,sleep
Paul Oakenfold,big beat
Conor Maynard,dance pop
MARUV,russian pop
Pathos Humano,background music
Bob Marley & The Wailers,reggae
The B-52's,art rock
Charlie Monttana,mexican rock
Scorpions,album rock
tecashi,
B.B. King,blues
8k Sound Library,rain
The Destination,sleep
Pink Floyd,album rock
Arushi Jain,modular synth
Depeche Mode,dance rock
Vicente Garcia,bachata
pluvia,environmental
Cosmic Gate,edm
Light & Sound,sleep
Metamyther,
Cuca,latin alternative
Phlocalyst,lo-fi jazzhop
Jaguares,latin alternative
Tibetanian,
George Thorogood & The Destroyers,album rock
Jósean Log,mexican indie
Heroes Del Silencio,latin alternative
Vic Mars,folktronica
Spinnerette,
Jamiroquai,dance pop
Sia,australian dance
Plastiko,latin alternative
Rebel Cats,mexican rock
Beck,dance pop
Andrés Calamaro,argentine rock
Rain In Spain,rain
Danny Shamoun,
Iselinn,
Epektase,
Judi Khan,sleep
Vugh Gardens,
YA LO SABIAS,
Storm Machine,rain
Martin Gore,ambient techno
Doctor Neiman,
Nadie Sabe Nada,
Cut Copy,alternative dance
Slowdonia,
"oh, the joy.",sleep
Live,alternative metal
Massacre,argentine indie
Avalanch,latin metal
Royal Rain,rain
Nacha Pop,cantautor
The Jesus and Mary Chain,alternative rock
Chavela Vargas,bolero
Chama Wijnen,
Los Straitjackets,instrumental rock
Clouderr,
Benjamín Walker,chilean indie
Adam By Nature,
Drowning Pool,alternative metal
Lola Indigo,latin pop
Los Prisioneros,chilean hardcore
Tobogán Andaluz,argentine alternative rock
Insomnia Curator,
Forest Sounds,environmental
The Jacksons,disco
Shawn Mendes,canadian pop
Morodo,latin hip hop
HIM,dark rock
Jedisol,background music
Relajación océano y olas,musica de fondo
Testament,alternative metal
Ramones,classic rock
Camilo,colombian pop
Sala de Espera con AlvinSch,
Dolores Fernel,
Outdoor Field Recorders,environmental
Jonathan Goldman,bandoneon
Twinkz,study beats
JAM Project,anime rock
Kill Aniston,indie rock mexicano
MEDUZA,edm
Avenged Sevenfold,alternative metal
Adrian Bello,peruvian indie
Nikolaj Geisler,
Science from Above,
Miguel Bosé,latin
The Anonymous,
Rey Pila,indie rock mexicano
Lost Acapulco,mexican rock
90sFlav,lo-fi beats
I Blame Coco,
Arush Mandal,background music
Made Of Gold,
Rain Wonder,
Liwia Antas,
Two Door Cinema Club,indietronica
Massive Attack,big beat
Puente Celeste,argentine jazz
Hedda Young,
Ill Niño,alternative metal
Puscifer,alternative metal
The Go-Go's,album rock
DreamDrops,rain
Karlis Volt,sleep
Los Calzones,latin alternative
Vance Joy,folk-pop
New Sounds Of Nature,rain
Sepultura,alternative metal
Methods of Mayhem,nu metal
Flavio Nisi,
Enlightment Spirits,background music
Buenos Muchachos,rock uruguayo
Kabah,dance pop
Kenichiban,
Elton John,glam rock
Ingeborg,
Garrobos,latin metal
Fito Paez,argentine rock
Inspector,latin alternative
Dorian,latin rock
Constellation Sound,
The Living End,australian alternative rock
H.1,
Peter Graham,
The Black Crowes,album rock
Kaua Correia,sleep
Alma Meris,background music
Regard,dance pop
Alannah Hammer,
The National,indie rock
Meditación Maestro,
Millionen Tropfen,rain
K's Choice,alternative pop
El Cuarteto De Nos,argentine rock
Malik Jeremiassen,sleep
Method Man,east coast hip hop
Killing Joke,gothic rock
The Silent Ocean,
Queens of the Stone Age,alternative metal
Pantera,alternative metal
Tom Morello,modern alternative rock
Clara Nishimoto,japanese piano
Pandrezz,lo-fi beats
KAROL G,latin
Daft Punk,electro
Avicii,dance pop
Zhao Li,
Pablo Carbonell,
Bruno Mars,dance pop
Pearl Jam,grunge
Razones de Cambio,rock chapin
Alex Ferreira,mexican indie
The Gaslight Anthem,heartland rock
Melissa Etheridge,heartland rock
Lonelysoul.,
Daniela Spalla,indie cordoba
Stereo Outdoor Sampling,sound
Ellie Goulding,dance pop
Ajmw,chillhop
Elastica,alternative pop
Vorssenn,asmr
Electrodomesticos,chilean indie
La Mosca Tse-Tse,argentine rock
Nayantara,
Metallica,hard rock
Los Victorios,latin alternative
Melanie Martinez,alt z
Tracy Chapman,folk
Korn,alternative metal
Aurora y La Academia,latin alternative
Bah Zen,
Róisín Murphy,alternative dance
Ben Scott / Christa Michell,meditation
Estados Alterados,colombian rock
Lavinium,rain
System Of A Down,alternative metal
Volován,latin alternative
Dust Merchant,
Zen Gaya,zen
Wade Jackson,
Javier Corcobado,
